Scenario,MAE,RMSE,WAPE,MAPE,R2,Coverage_Pct,Mean_Interval_Width
1. Baseline (Naive),476.23400751748255,931.1425897655445,1.4097661986867716,1298550332.4806287,-0.579490824439258,,
2. Baseline + Feature Engineering,372.5870298760048,701.376512418355,1.1029464349393563,1159929456.2222435,0.10383668681426761,,
3. Baseline + Demand Recovery,462.8076590186171,738.3886313684385,1.370021006225281,1945650714.1674883,0.006758796659219413,,
4. Adaptive Model Router,462.8076590186171,738.3886313684385,1.370021006225281,1945650714.1674883,0.006758796659219413,,
5. Full RetailMind-X (Uncertainty-Aware),399.1220109012358,740.7835599448688,1.1814963048387506,1234797976.490452,0.0003052861145712571,53.12354312354313,817.2042564168876
